Customer_id,Customer_fname,Customer_lname,Customer_email,Customer_password,Customer_country,Customer_state,Customer_city,Customer_street,Customer_zipcode,Customer_segment
20755,Cally,Holloway,XXXXXXXXX,XXXXXXXXX,Puerto Rico,PR,Caguas,5365 Noble Nectar Island,725,Consumer
19492,Irene,Luna,XXXXXXXXX,XXXXXXXXX,Puerto Rico,PR,Caguas,2679 Rustic Loop,725,Consumer
19491,Gillian,Maldonado,XXXXXXXXX,XXXXXXXXX,EE. UU.,CA,San Jose,8510 Round Bear Gate,95125,Consumer
19490,Tana,Tate,XXXXXXXXX,XXXXXXXXX,EE. UU.,CA,Los Angeles,3200 Amber Bend,90027,Home Office
19489,Orli,Hendricks,XXXXXXXXX,XXXXXXXXX,Puerto Rico,PR,Caguas,8671 Iron Anchor Corners,725,Corporate
19488,Kimberly,Flowers,XXXXXXXXX,XXXXXXXXX,EE. UU.,NY,Tonawanda,2122 Hazy Corner,14150,Consumer
19487,Constance,Terrell,XXXXXXXXX,XXXXXXXXX,Puerto Rico,PR,Caguas,1879 Green Pine Bank,725,Home Office
19486,Erica,Stevens,XXXXXXXXX,XXXXXXXXX,EE. UU.,FL,Miami,7595 Cotton Log Row,33162,Corporate
19485,Nichole,Olsen,XXXXXXXXX,XXXXXXXXX,Puerto Rico,PR,Caguas,2051 Dusty Route,725,Corporate
19484,Oprah,Delacruz,XXXXXXXXX,XXXXXXXXX,EE. UU.,CA,San Ramon,9139 Blue Blossom Court,94583,Corporate
19483,Germane,Short,XXXXXXXXX,XXXXXXXXX,Puerto Rico,PR,Caguas,4058 Quiet Heights,725,Corporate
19482,Freya,Robbins,XXXXXXXXX,XXXXXXXXX,EE. UU.,NY,Freeport,3243 Shady Corner,11520,Consumer
19481,Cassandra,Jensen,XXXXXXXXX,XXXXXXXXX,EE. UU.,CA,Salinas,131 Sunny Treasure Green,93905,Corporate
19480,Natalie,Mcfadden,XXXXXXXXX,XXXXXXXXX,Puerto Rico,PR,Caguas,2531 Wishing Square,725,Corporate
19479,Kimberley,Sharpe,XXXXXXXXX,XXXXXXXXX,EE. UU.,MA,Peabody,6417 Silver Towers,1960,Corporate
19478,Sade,Lancaster,XXXXXXXXX,XXXXXXXXX,Puerto Rico,PR,Caguas,257 Harvest Close,725,Corporate
19477,Brynne,Giles,XXXXXXXXX,XXXXXXXXX,Puerto Rico,PR,Canovanas,7342 Hazy Beacon Park,729,Corporate
19476,Ciara,Bird,XXXXXXXXX,XXXXXXXXX,EE. UU.,CA,Paramount,7787 Lazy Corners,90723,Corporate
19475,Bo,Griffin,XXXXXXXXX,XXXXXXXXX,Puerto Rico,PR,Caguas,5136 Rustic Pioneer Estates,725,Consumer
19474,Kim,Simon,XXXXXXXXX,XXXXXXXXX,EE. UU.,IL,Mount Prospect,1723 Tawny Via,60056,Consumer
19473,Kellie,Farmer,XXXXXXXXX,XXXXXXXXX,EE. UU.,CA,Long Beach,7111 Silent Fox Gardens,90813,Corporate
19472,Alma,Conley,XXXXXXXXX,XXXXXXXXX,Puerto Rico,PR,Caguas,3732 Old Mountain Bank,725,Corporate
19471,Yeo,Bird,XXXXXXXXX,XXXXXXXXX,EE. UU.,CA,Rancho Cordova,6217 Rustic Lake Forest,95670,Corporate
19470,Lucy,Mcknight,XXXXXXXXX,XXXXXXXXX,Puerto Rico,PR,Caguas,1082 Quiet Treasure Link,725,Corporate
19469,Simone,Vance,XXXXXXXXX,XXXXXXXXX,EE. UU.,MT,Billings,3176 Round Gate,59102,Corporate
19468,Roary,Wheeler,XXXXXXXXX,XXXXXXXXX,Puerto Rico,PR,Caguas,1426 Fallen Line,725,Corporate
19467,Quail,Ashley,XXXXXXXXX,XXXXXXXXX,EE. UU.,PA,Wilkes Barre,9814 Emerald Prairie Limits,18702,Consumer
19466,Hannah,Velez,XXXXXXXXX,XXXXXXXXX,Puerto Rico,PR,Caguas,8271 Tawny Elk Abbey,725,Corporate
19465,Evelyn,Kelly,XXXXXXXXX,XXXXXXXXX,EE. UU.,MI,Roseville,3931 Gentle Ramp,48066,Corporate
19464,Jael,Mcfarland,XXXXXXXXX,XXXXXXXXX,EE. UU.,CA,Bellflower,9699 Honey Rise,90706,Consumer
19463,Teagan,Romero,XXXXXXXXX,XXXXXXXXX,Puerto Rico,PR,Caguas,1564 Rocky Terrace,725,Consumer
19462,Joan,Wilder,XXXXXXXXX,XXXXXXXXX,EE. UU.,IL,Wheaton,4294 High Passage,60187,Consumer
19461,Basia,Watts,XXXXXXXXX,XXXXXXXXX,Puerto Rico,PR,Caguas,5918 Golden Beacon Freeway,725,Consumer
